entry_time,exit_time,side,entry_price,exit_price,pnl_points,pnl_money,capital,entry_reason,exit_reason
2026-06-07 19:01:03,2026-06-07 19:01:04,LONG,21977,21989,12,600,1000600,網格下跌買進 level=-1,反向訊號平多：網格上漲賣出 level=0
2026-06-07 19:01:04,2026-06-07 19:01:04,LONG,21981,21987,6,300,1000900,網格下跌買進 level=-1,反向訊號平多：網格上漲賣出 level=0
2026-06-07 19:01:04,2026-06-07 19:01:04,LONG,21981,21985,4,200,1001100,網格下跌買進 level=-1,反向訊號平多：網格上漲賣出 level=0
2026-06-07 19:01:04,2026-06-07 19:01:04,LONG,21983,21985,2,100,1001200,網格下跌買進 level=-1,反向訊號平多：網格上漲賣出 level=0
2026-06-07 19:01:04,2026-06-07 19:01:04,LONG,21979,21977,-2,-100,1001100,網格下跌買進 level=-1,反向訊號平多：短均線下穿長均線 MA5/MA20
2026-06-07 19:01:05,2026-06-07 19:01:05,LONG,21954,21957,3,150,1001250,網格下跌買進 level=-2,反向訊號平多：網格上漲賣出 level=-1
2026-06-07 19:01:05,2026-06-07 19:01:06,LONG,21950,21933,-17,-850,1000400,區間低點買進 21950,反向訊號平多：短均線下穿長均線 MA5/MA20
2026-06-07 19:01:06,2026-06-07 19:01:07,LONG,21930,21920,-10,-500,999900,區間低點買進 21950,反向訊號平多：跌破下限 21920
2026-06-07 19:01:07,2026-06-07 19:01:07,LONG,21920,21920,0,0,999900,區間低點買進 21950,反向訊號平多：短均線下穿長均線 MA5/MA20
2026-06-07 19:01:07,2026-06-07 19:01:07,LONG,21920,21916,-4,-200,999700,網格下跌買進 level=-3,反向訊號平多：跌破下限 21920
2026-06-07 19:01:07,2026-06-07 19:01:07,LONG,21916,21911,-5,-250,999450,區間低點買進 21950,反向訊號平多：跌破下限 21920
2026-06-07 19:01:07,2026-06-07 19:01:07,LONG,21911,21915,4,200,999650,區間低點買進 21950,反向訊號平多：跌破下限 21920
2026-06-07 19:01:07,2026-06-07 19:01:07,LONG,21915,21912,-3,-150,999500,區間低點買進 21950,反向訊號平多：跌破下限 21920
2026-06-07 19:01:07,2026-06-07 19:01:07,LONG,21912,21913,1,50,999550,區間低點買進 21950,反向訊號平多：跌破下限 21920
2026-06-07 19:01:07,2026-06-07 19:01:08,LONG,21913,21914,1,50,999600,區間低點買進 21950,反向訊號平多：跌破下限 21920
2026-06-07 19:01:08,2026-06-07 19:01:08,LONG,21914,21908,-6,-300,999300,區間低點買進 21950,反向訊號平多：跌破下限 21920
2026-06-07 19:01:08,2026-06-07 19:01:08,LONG,21908,21904,-4,-200,999100,區間低點買進 21950,反向訊號平多：跌破下限 21920
2026-06-07 19:01:08,2026-06-07 19:01:08,LONG,21904,21901,-3,-150,998950,區間低點買進 21950,反向訊號平多：跌破下限 21920
2026-06-07 19:01:08,2026-06-07 19:01:08,LONG,21901,21895,-6,-300,998650,區間低點買進 21950,反向訊號平多：跌破下限 21920
2026-06-07 19:01:08,2026-06-07 19:01:12,LONG,21895,21938,43,2150,1000800,區間低點買進 21950,達到停利
